Iteration  10: 2.266 ms/op
Iteration  11: 4.580 ms/op
Iteration  12: 5.367 ms/op
Iteration  13: 15.970 ms/op
Iteration  14: 3.049 ms/op
Iteration  15: 8.320 ms/op
Iteration  16: 7.052 ms/op
Iteration  17: 10.356 ms/op
Iteration  18: 2.608 ms/op
Iteration  19: 6.529 ms/op
Iteration  20: 2.487 ms/op
Iteration  21: 10.800 ms/op
Iteration  22: 4.344 ms/op
Iteration  23: 7.017 ms/op
Iteration  24: 9.093 ms/op
Iteration  25: 6.803 ms/op
Iteration  26: 9.873 ms/op
Iteration  27: 11.095 ms/op
Iteration  28: 5.236 ms/op
Iteration  29: 8.719 ms/op
Iteration  30: 4.948 ms/op
Iteration  31: 8.215 ms/op
Iteration  32: 3.845 ms/op
Iteration  33: 9.408 ms/op
Iteration  34: 10.477 ms/op
Iteration  35: 7.960 ms/op
Iteration  36: 10.902 ms/op
Iteration  37: 6.790 ms/op
Iteration  38: 2.085 ms/op
Iteration  39: 1.758 ms/op
Iteration  40: 7.757 ms/op
Iteration  41: 6.715 ms/op
Iteration  42: 2.769 ms/op
Iteration  43: 3.647 ms/op
Iteration  44: 7.812 ms/op
Iteration  45: 6.925 ms/op
Iteration  46: 9.233 ms/op
Iteration  47: 12.001 ms/op
Iteration  48: 2.851 ms/op
Iteration  49: 3.062 ms/op
Iteration  50: 5.260 ms/op
Iteration  51: 2.405 ms/op
Iteration  52: 7.603 ms/op
Iteration  53: 7.936 ms/op
Iteration  54: 17.131 ms/op
Iteration  55: 11.402 ms/op
Iteration  56: 4.492 ms/op
Iteration  57: 9.107 ms/op
Iteration  58: 2.274 ms/op
Iteration  59: 4.336 ms/op
Iteration  60: 3.687 ms/op
Iteration  61: 7.142 ms/op
Iteration  62: 7.322 ms/op
Iteration  63: 7.844 ms/op
Iteration  64: 3.546 ms/op
Iteration  65: 14.354 ms/op
Iteration  66: 10.049 ms/op
Iteration  67: 11.730 ms/op
Iteration  68: 10.467 ms/op
Iteration  69: 7.892 ms/op
Iteration  70: 9.309 ms/op
Iteration  71: 15.866 ms/op
Iteration  72: 14.608 ms/op
Iteration  73: 8.584 ms/op
Iteration  74: 11.123 ms/op
Iteration  75: 9.044 ms/op
Iteration  76: 17.460 ms/op
Iteration  77: 17.526 ms/op
Iteration  78: 3.262 ms/op
Iteration  79: 9.147 ms/op
Iteration  80: 5.520 ms/op
Iteration  81: 10.242 ms/op
Iteration  82: 2.234 ms/op
Iteration  83: 9.375 ms/op
Iteration  84: 5.308 ms/op
Iteration  85: 7.908 ms/op
Iteration  86: 3.436 ms/op
Iteration  87: 11.884 ms/op
Iteration  88: 2.345 ms/op
Iteration  89: 3.710 ms/op
Iteration  90: 4.563 ms/op
Iteration  91: 2.980 ms/op
Iteration  92: 7.772 ms/op
Iteration  93: 5.458 ms/op
Iteration  94: 2.391 ms/op
Iteration  95: 6.067 ms/op
Iteration  96: 5.500 ms/op
Iteration  97: 3.741 ms/op
Iteration  98: 2.672 ms/op
Iteration  99: 4.716 ms/op
Iteration 100: 5.428 ms/op
Iteration 101: 1.699 ms/op
Iteration 102: 5.553 ms/op
Iteration 103: 3.247 ms/op
Iteration 104: 3.957 ms/op
Iteration 105: 4.746 ms/op
Iteration 106: 3.047 ms/op
Iteration 107: 7.869 ms/op
Iteration 108: 1.742 ms/op
Iteration 109: 5.966 ms/op
Iteration 110: 4.486 ms/op
Iteration 111: 4.032 ms/op
Iteration 112: 7.431 ms/op
Iteration 113: 1.598 ms/op
Iteration 114: 4.483 ms/op
Iteration 115: 1.657 ms/op
Iteration 116: 4.905 ms/op
Iteration 117: 2.953 ms/op
Iteration 118: 4.248 ms/op
Iteration 119: 8.435 ms/op
Iteration 120: 7.586 ms/op
Iteration 121: 2.033 ms/op
Iteration 122: 6.526 ms/op
Iteration 123: 4.425 ms/op
Iteration 124: 3.646 ms/op
Iteration 125: 2.928 ms/op
Iteration 126: 3.626 ms/op
Iteration 127: 2.793 ms/op
Iteration 128: 4.055 ms/op
Iteration 129: 6.307 ms/op
Iteration 130: 4.383 ms/op
Iteration 131: 2.152 ms/op
Iteration 132: 4.649 ms/op
Iteration 133: 8.001 ms/op
Iteration 134: 2.821 ms/op
Iteration 135: 9.722 ms/op
Iteration 136: 1.814 ms/op
Iteration 137: 14.587 ms/op
Iteration 138: 6.924 ms/op
Iteration 139: 4.161 ms/op
Iteration 140: 6.928 ms/op
Iteration 141: 9.129 ms/op
Iteration 142: 5.135 ms/op
Iteration 143: 6.288 ms/op
Iteration 144: 3.071 ms/op
Iteration 145: 6.794 ms/op
Iteration 146: 1.627 ms/op
Iteration 147: 5.408 ms/op
Iteration 148: 4.438 ms/op
Iteration 149: 1.784 ms/op
Iteration 150: 4.869 ms/op
Iteration 151: 5.513 ms/op
Iteration 152: 1.889 ms/op
Iteration 153: 10.799 ms/op
Iteration 154: 3.987 ms/op
Iteration 155: 1.817 ms/op
Iteration 156: 4.533 ms/op
Iteration 157: 1.545 ms/op
Iteration 158: 3.375 ms/op
Iteration 159: 1.628 ms/op
Iteration 160: 5.689 ms/op
Iteration 161: 1.657 ms/op
Iteration 162: 8.288 ms/op
Iteration 163: 4.048 ms/op
Iteration 164: 8.316 ms/op
Iteration 165: 1.905 ms/op
Iteration 166: 3.163 ms/op
Iteration 167: 8.787 ms/op
Iteration 168: 1.653 ms/op
Iteration 169: 3.837 ms/op
Iteration 170: 5.684 ms/op
Iteration 171: 2.684 ms/op
Iteration 172: 4.286 ms/op
Iteration 173: 6.105 ms/op
Iteration 174: 5.399 ms/op
Iteration 175: 2.163 ms/op
